[2025-11-09 20:39:36,939] 18 root - INFO- Initiate the data ingestion
[2025-11-09 20:41:41,872] 68 root - INFO- Performed train test split on the dataframe
[2025-11-09 20:41:41,872] 70 root - INFO- Exited split_data_as_train_test method of Data_Ingestion class
[2025-11-09 20:41:41,872] 78 root - INFO- Exporting train and test file path.
[2025-11-09 20:41:41,970] 87 root - INFO- Exported train and test file path.
[2025-11-09 20:41:41,971] 22 root - INFO- Data initiation completed
[2025-11-09 20:41:41,980] 25 root - INFO- Initiate the data validation
[2025-11-09 20:41:42,124] 32 root - INFO- Required no of columns: 31
[2025-11-09 20:41:42,124] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 20:41:42,124] 32 root - INFO- Required no of columns: 31
[2025-11-09 20:41:42,126] 33 root - INFO- Dataframe has columns: 31
[2025-11-09 20:41:42,397] 44 root - INFO- Entered initiate-data-transformation function of data transformation class
[2025-11-09 20:41:42,398] 46 root - INFO- Starting data transformation
[2025-11-09 20:41:42,535] 34 root - INFO- Entered get_data_transformer_object method of transformation
[2025-11-09 20:41:42,535] 37 root - INFO- Initialised knn imputer 
[2025-11-09 20:41:42,553] 44 root - INFO- Entered the save_object class
[2025-11-09 20:41:42,556] 49 root - INFO- Exited the save_object class
[2025-11-09 20:41:42,558] 34 root - INFO- model training started 
